date,temp_avg,humidity,precip,target
1982-01-01,15.33,5.86,0.0,14.92
1982-01-02,14.92,5.62,0.0,15.54
1982-01-03,15.54,5.43,0.0,16.52
1982-01-04,16.52,6.35,0.36,18.86
1982-01-05,18.86,8.0,0.35,18.87
1982-01-06,18.87,8.0,0.8,18.76
1982-01-07,18.76,7.81,0.05,18.8
1982-01-08,18.8,7.32,0.0,18.85
1982-01-09,18.85,7.2,0.0,19.22
1982-01-10,19.22,7.14,0.0,20.87
1982-01-11,20.87,8.73,1.41,20.01
1982-01-12,20.01,8.79,0.25,18.2
1982-01-13,18.2,6.65,0.0,17.23
1982-01-14,17.23,5.86,0.0,17.35
1982-01-15,17.35,5.74,0.0,18.22
1982-01-16,18.22,6.41,0.0,16.98
1982-01-17,16.98,5.19,0.0,17.58
1982-01-18,17.58,6.04,0.0,18.36
1982-01-19,18.36,6.35,0.0,17.43
1982-01-20,17.43,4.82,0.0,16.94
1982-01-21,16.94,4.76,0.0,17.65
1982-01-22,17.65,5.0,0.01,20.46
1982-01-23,20.46,7.08,0.0,21.75
1982-01-24,21.75,8.18,0.21,21.19
1982-01-25,21.19,8.3,0.1,21.46
1982-01-26,21.46,8.0,0.0,20.87
1982-01-27,20.87,7.93,0.0,20.49
1982-01-28,20.49,7.81,0.03,20.04
1982-01-29,20.04,6.9,0.0,18.77
1982-01-30,18.77,6.23,0.0,19.85
1982-01-31,19.85,5.86,0.0,18.81
1982-02-01,18.81,8.18,0.76,19.33
1982-02-02,19.33,8.0,0.02,19.72
1982-02-03,19.72,6.71,0.16,19.0
1982-02-04,19.0,7.75,0.97,19.13
1982-02-05,19.13,7.51,0.59,18.13
1982-02-06,18.13,5.86,0.0,17.47
1982-02-07,17.47,4.88,0.0,17.78
1982-02-08,17.78,4.58,0.0,17.89
1982-02-09,17.89,5.92,4.34,18.25
1982-02-10,18.25,5.37,0.0,18.91
1982-02-11,18.91,6.53,0.0,20.83
1982-02-12,20.83,6.1,0.02,23.02
1982-02-13,23.02,8.85,0.55,23.23
1982-02-14,23.23,8.3,0.0,21.53
1982-02-15,21.53,6.84,0.0,21.92
1982-02-16,21.92,6.84,0.0,22.67
1982-02-17,22.67,8.0,0.02,24.03
1982-02-18,24.03,10.5,2.22,23.92
1982-02-19,23.92,7.63,0.0,22.85
1982-02-20,22.85,6.35,0.0,22.9
1982-02-21,22.9,5.25,0.0,24.42
1982-02-22,24.42,6.84,0.09,23.05
1982-02-23,23.05,5.74,0.0,22.28
1982-02-24,22.28,4.39,0.0,22.15
1982-02-25,22.15,4.39,0.0,21.97
1982-02-26,21.97,4.09,0.0,23.15
1982-02-27,23.15,4.46,0.0,24.32
1982-02-28,24.32,5.74,0.0,22.58
1982-03-01,22.58,8.73,0.13,20.47
1982-03-02,20.47,10.8,24.25,17.76
1982-03-03,17.76,9.64,1.98,20.25
1982-03-04,20.25,6.77,0.0,21.11
1982-03-05,21.11,6.47,0.02,20.69
1982-03-06,20.69,8.79,3.26,22.03
1982-03-07,22.03,9.34,4.83,21.3
1982-03-08,21.3,5.98,0.0,21.29
1982-03-09,21.29,5.55,0.0,24.01
1982-03-10,24.01,6.53,1.11,26.23
1982-03-11,26.23,8.61,0.37,25.34
1982-03-12,25.34,8.91,1.18,23.72
1982-03-13,23.72,7.2,0.87,23.51
1982-03-14,23.51,6.71,0.45,24.39
1982-03-15,24.39,6.35,0.0,25.51
1982-03-16,25.51,6.9,0.0,27.97
1982-03-17,27.97,10.31,0.0,28.58
1982-03-18,28.58,13.37,3.95,27.24
1982-03-19,27.24,14.53,10.39,27.37
1982-03-20,27.37,9.46,0.0,27.26
1982-03-21,27.26,8.0,0.0,27.53
1982-03-22,27.53,7.57,0.0,28.58
1982-03-23,28.58,8.18,0.0,30.18
1982-03-24,30.18,9.09,0.0,29.4
1982-03-25,29.4,9.28,0.89,22.49
1982-03-26,22.49,11.6,5.1,25.68
1982-03-27,25.68,9.52,0.0,26.47
1982-03-28,26.47,6.35,0.0,28.23
1982-03-29,28.23,7.14,0.0,29.94
1982-03-30,29.94,8.3,0.02,30.21
1982-03-31,30.21,9.34,0.06,29.9
1982-04-01,29.9,8.3,1.14,31.15
1982-04-02,31.15,9.09,0.25,30.52
1982-04-03,30.52,7.87,0.56,29.4
1982-04-04,29.4,8.24,4.98,32.43
1982-04-05,32.43,13.85,0.35,31.01
1982-04-06,31.01,15.38,0.0,32.8
1982-04-07,32.8,15.14,2.79,31.32
1982-04-08,31.32,13.85,5.81,29.17
1982-04-09,29.17,7.08,0.39,30.67
1982-04-10,30.67,7.2,0.0,32.58
1982-04-11,32.58,11.54,0.04,32.15
1982-04-12,32.15,10.56,0.11,32.9
1982-04-13,32.9,12.08,0.37,32.83
1982-04-14,32.83,13.0,6.99,31.93
1982-04-15,31.93,12.02,0.1,33.06
1982-04-16,33.06,12.94,0.38,32.96
1982-04-17,32.96,13.31,0.73,30.68
1982-04-18,30.68,13.49,1.06,29.66
1982-04-19,29.66,14.47,6.9,26.97
1982-04-20,26.97,16.3,21.55,29.09
1982-04-21,29.09,13.98,10.08,30.29
1982-04-22,30.29,11.05,0.03,31.48
1982-04-23,31.48,12.21,3.17,32.73
1982-04-24,32.73,10.8,0.33,33.09
1982-04-25,33.09,12.88,0.07,32.71
1982-04-26,32.71,14.77,1.47,32.67
1982-04-27,32.67,14.34,5.24,32.5
1982-04-28,32.5,13.98,2.35,33.15
1982-04-29,33.15,13.31,2.32,32.83
1982-04-30,32.83,11.47,0.11,33.94
1982-05-01,33.94,11.6,0.0,34.57
1982-05-02,34.57,12.57,0.0,33.9
1982-05-03,33.9,13.24,3.68,32.99
1982-05-04,32.99,11.05,0.19,32.3
1982-05-05,32.3,12.57,9.89,34.98
1982-05-06,34.98,14.95,0.29,34.54
1982-05-07,34.54,12.39,0.01,34.98
1982-05-08,34.98,11.96,0.22,35.92
1982-05-09,35.92,15.01,0.01,35.4
1982-05-10,35.4,16.24,5.77,33.52
1982-05-11,33.52,16.48,5.15,34.43
1982-05-12,34.43,15.99,3.96,33.68
1982-05-13,33.68,16.3,2.87,31.44
1982-05-14,31.44,17.76,8.08,31.06
1982-05-15,31.06,14.95,4.72,29.66
1982-05-16,29.66,16.24,4.42,32.14
1982-05-17,32.14,13.92,2.06,31.56
1982-05-18,31.56,13.31,6.78,32.73
1982-05-19,32.73,13.43,0.0,33.51
1982-05-20,33.51,13.31,0.0,34.76
1982-05-21,34.76,12.82,0.0,34.77
1982-05-22,34.77,13.31,0.41,33.94
1982-05-23,33.94,14.77,0.35,35.55
1982-05-24,35.55,13.85,0.79,36.82
1982-05-25,36.82,14.4,0.08,34.79
1982-05-26,34.79,15.87,10.49,36.12
1982-05-27,36.12,15.69,0.04,36.59
1982-05-28,36.59,16.17,0.07,34.87
1982-05-29,34.87,18.25,4.38,34.85
1982-05-30,34.85,17.64,2.31,33.69
1982-05-31,33.69,18.74,6.41,33.72
1982-06-01,33.72,17.7,0.0,34.35
1982-06-02,34.35,17.27,1.64,31.36
1982-06-03,31.36,17.7,5.84,29.71
1982-06-04,29.71,19.35,13.39,32.83
1982-06-05,32.83,17.33,2.01,34.7
1982-06-06,34.7,15.87,1.05,34.9
1982-06-07,34.9,16.11,0.84,34.05
1982-06-08,34.05,17.64,4.82,32.67
1982-06-09,32.67,18.68,10.77,33.15
1982-06-10,33.15,19.23,8.39,31.48
1982-06-11,31.48,19.9,12.36,30.73
1982-06-12,30.73,19.23,5.79,33.55
1982-06-13,33.55,18.74,3.73,30.11
1982-06-14,30.11,19.96,6.99,28.59
