YEAR,MO,DY,TS,QV2M,PRECTOTCORR
1982,1,1,15.33,5.86,0.0
1982,1,2,14.92,5.62,0.0
1982,1,3,15.54,5.43,0.0
1982,1,4,16.52,6.35,0.36
1982,1,5,18.86,8.0,0.35
1982,1,6,18.87,8.0,0.8
1982,1,7,18.76,7.81,0.05
1982,1,8,18.8,7.32,0.0
1982,1,9,18.85,7.2,0.0
1982,1,10,19.22,7.14,0.0
1982,1,11,20.87,8.73,1.41
1982,1,12,20.01,8.79,0.25
1982,1,13,18.2,6.65,0.0
1982,1,14,17.23,5.86,0.0
1982,1,15,17.35,5.74,0.0
1982,1,16,18.22,6.41,0.0
1982,1,17,16.98,5.19,0.0
1982,1,18,17.58,6.04,0.0
1982,1,19,18.36,6.35,0.0
1982,1,20,17.43,4.82,0.0
1982,1,21,16.94,4.76,0.0
1982,1,22,17.65,5.0,0.01
1982,1,23,20.46,7.08,0.0
1982,1,24,21.75,8.18,0.21
1982,1,25,21.19,8.3,0.1
1982,1,26,21.46,8.0,0.0
1982,1,27,20.87,7.93,0.0
1982,1,28,20.49,7.81,0.03
1982,1,29,20.04,6.9,0.0
1982,1,30,18.77,6.23,0.0
1982,1,31,19.85,5.86,0.0
1982,2,1,18.81,8.18,0.76
1982,2,2,19.33,8.0,0.02
1982,2,3,19.72,6.71,0.16
1982,2,4,19.0,7.75,0.97
1982,2,5,19.13,7.51,0.59
1982,2,6,18.13,5.86,0.0
1982,2,7,17.47,4.88,0.0
1982,2,8,17.78,4.58,0.0
1982,2,9,17.89,5.92,4.34
1982,2,10,18.25,5.37,0.0
1982,2,11,18.91,6.53,0.0
1982,2,12,20.83,6.1,0.02
1982,2,13,23.02,8.85,0.55
1982,2,14,23.23,8.3,0.0
1982,2,15,21.53,6.84,0.0
1982,2,16,21.92,6.84,0.0
1982,2,17,22.67,8.0,0.02
1982,2,18,24.03,10.5,2.22
1982,2,19,23.92,7.63,0.0
1982,2,20,22.85,6.35,0.0
1982,2,21,22.9,5.25,0.0
1982,2,22,24.42,6.84,0.09
1982,2,23,23.05,5.74,0.0
1982,2,24,22.28,4.39,0.0
1982,2,25,22.15,4.39,0.0
1982,2,26,21.97,4.09,0.0
1982,2,27,23.15,4.46,0.0
1982,2,28,24.32,5.74,0.0
1982,3,1,22.58,8.73,0.13
1982,3,2,20.47,10.8,24.25
1982,3,3,17.76,9.64,1.98
1982,3,4,20.25,6.77,0.0
