TS,QV2M,PRECTOTCORR,date
15.33,5.86,0.0,1982-01-01
14.92,5.62,0.0,1982-01-02
15.54,5.43,0.0,1982-01-03
16.52,6.35,0.36,1982-01-04
18.86,8.0,0.35,1982-01-05
18.87,8.0,0.8,1982-01-06
18.76,7.81,0.05,1982-01-07
18.8,7.32,0.0,1982-01-08
18.85,7.2,0.0,1982-01-09
19.22,7.14,0.0,1982-01-10
20.87,8.73,1.41,1982-01-11
20.01,8.79,0.25,1982-01-12
18.2,6.65,0.0,1982-01-13
17.23,5.86,0.0,1982-01-14
17.35,5.74,0.0,1982-01-15
18.22,6.41,0.0,1982-01-16
16.98,5.19,0.0,1982-01-17
17.58,6.04,0.0,1982-01-18
18.36,6.35,0.0,1982-01-19
17.43,4.82,0.0,1982-01-20
16.94,4.76,0.0,1982-01-21
17.65,5.0,0.01,1982-01-22
20.46,7.08,0.0,1982-01-23
21.75,8.18,0.21,1982-01-24
21.19,8.3,0.1,1982-01-25
21.46,8.0,0.0,1982-01-26
20.87,7.93,0.0,1982-01-27
20.49,7.81,0.03,1982-01-28
20.04,6.9,0.0,1982-01-29
18.77,6.23,0.0,1982-01-30
19.85,5.86,0.0,1982-01-31
18.81,8.18,0.76,1982-02-01
19.33,8.0,0.02,1982-02-02
19.72,6.71,0.16,1982-02-03
19.0,7.75,0.97,1982-02-04
19.13,7.51,0.59,1982-02-05
18.13,5.86,0.0,1982-02-06
17.47,4.88,0.0,1982-02-07
17.78,4.58,0.0,1982-02-08
17.89,5.92,4.34,1982-02-09
18.25,5.37,0.0,1982-02-10
18.91,6.53,0.0,1982-02-11
20.83,6.1,0.02,1982-02-12
23.02,8.85,0.55,1982-02-13
23.23,8.3,0.0,1982-02-14
21.53,6.84,0.0,1982-02-15
21.92,6.84,0.0,1982-02-16
22.67,8.0,0.02,1982-02-17
24.03,10.5,2.22,1982-02-18
23.92,7.63,0.0,1982-02-19
22.85,6.35,0.0,1982-02-20
22.9,5.25,0.0,1982-02-21
24.42,6.84,0.09,1982-02-22
23.05,5.74,0.0,1982-02-23
22.28,4.39,0.0,1982-02-24
22.15,4.39,0.0,1982-02-25
21.97,4.09,0.0,1982-02-26
23.15,4.46,0.0,1982-02-27
24.32,5.74,0.0,1982-02-28
22.58,8.73,0.13,1982-03-01
20.47,10.8,24.25,1982-03-02
17.76,9.64,1.98,1982-03-03
20.25,6.77,0.0,1982-03-04
21.11,6.47,0.02,1982-03-05
20.69,8.79,3.26,1982-03-06
22.03,9.34,4.83,1982-03-07
21.3,5.98,0.0,1982-03-08
21.29,5.55,0.0,1982-03-09
24.01,6.53,1.11,1982-03-10
